status,ticker,company_name,source_path,target_path,mapping_source_level,chain_code,chain_name,position,subcategory,choice_count,note
moved,2012,春雨,Pilot_Reports/2012_春雨.md,Pilot_Reports/2012_春雨.md,raw_member,AB20,風力發電,上游,其他配件,6,
moved,2013,中鋼構,Pilot_Reports/2013_中鋼構.md,Pilot_Reports/2013_中鋼構.md,raw_member,AB20,風力發電,上游,鋼材,2,
moved,2014,中鴻,Pilot_Reports/2014_中鴻.md,Pilot_Reports/2014_中鴻.md,raw_member,Q000,鋼鐵,中游,冷熱軋鋼板捲,2,
moved,2015,豐興,Pilot_Reports/2015_豐興.md,Pilot_Reports/2015_豐興.md,raw_member,Q000,鋼鐵,上游,鋼胚,4,
moved,2017,官田鋼,Pilot_Reports/2017_官田鋼.md,Pilot_Reports/2017_官田鋼.md,raw_member,Q000,鋼鐵,中游,鋼筋,5,
moved,2020,美亞,Pilot_Reports/2020_美亞.md,Pilot_Reports/2020_美亞.md,raw_member,Q000,鋼鐵,中游,製管,3,
moved,2023,燁輝,Pilot_Reports/2023_燁輝.md,Pilot_Reports/2023_燁輝.md,raw_member,Q000,鋼鐵,中游,冷熱軋鋼板捲,1,
moved,2024,志聯,Pilot_Reports/2024_志聯.md,Pilot_Reports/2024_志聯.md,raw_member,Q000,鋼鐵,下游,鋼線鋼纜,1,
moved,2025,千興,Pilot_Reports/2025_千興.md,Pilot_Reports/2025_千興.md,raw_member,Q000,鋼鐵,中游,冷熱軋不鏽鋼板捲,1,
moved,2027,大成鋼,Pilot_Reports/2027_大成鋼.md,Pilot_Reports/2027_大成鋼.md,raw_member,Q000,鋼鐵,中游,製管,1,
moved,2028,威致,Pilot_Reports/2028_威致.md,Pilot_Reports/2028_威致.md,raw_member,Q000,鋼鐵,上游,鋼胚,4,
moved,2029,盛餘,Pilot_Reports/2029_盛餘.md,Pilot_Reports/2029_盛餘.md,raw_member,Q000,鋼鐵,中游,冷熱軋鋼板捲,1,
moved,2030,彰源,Pilot_Reports/2030_彰源.md,Pilot_Reports/2030_彰源.md,raw_member,Q000,鋼鐵,中游,製管,1,
moved,2031,新光鋼,Pilot_Reports/2031_新光鋼.md,Pilot_Reports/2031_新光鋼.md,raw_member,A100,太陽能產業,下游,太陽能發電設備/系統及系統工程,7,
moved,2032,新鋼,Pilot_Reports/2032_新鋼.md,Pilot_Reports/2032_新鋼.md,raw_member,Q000,鋼鐵,中游,裁剪加工,1,
moved,2033,佳大,Pilot_Reports/2033_佳大.md,Pilot_Reports/2033_佳大.md,raw_member,Q000,鋼鐵,下游,鋼線鋼纜,1,
moved,2034,允強,Pilot_Reports/2034_允強.md,Pilot_Reports/2034_允強.md,raw_member,Q000,鋼鐵,中游,冷熱軋不鏽鋼板捲,4,
moved,2035,唐榮,Pilot_Reports/2035_唐榮.md,Pilot_Reports/2035_唐榮.md,raw_member,Q000,鋼鐵,上游,不鏽鋼胚,1,
moved,2038,海光,Pilot_Reports/2038_海光.md,Pilot_Reports/2038_海光.md,raw_member,Q000,鋼鐵,中游,鋼筋,1,
moved,2064,晉椿,Pilot_Reports/2064_晉椿.md,Pilot_Reports/2064_晉椿.md,raw_member,Q000,鋼鐵,中游,線材盤元,3,
moved,2069,運錩,Pilot_Reports/2069_運錩.md,Pilot_Reports/2069_運錩.md,raw_member,Q000,鋼鐵,中游,冷熱軋不鏽鋼板捲,2,
moved,2073,雄順,Pilot_Reports/2073_雄順.md,Pilot_Reports/2073_雄順.md,raw_member,Q000,鋼鐵,中游,冷熱軋鋼板捲,4,
moved,2211,長榮鋼,Pilot_Reports/2211_長榮鋼.md,Pilot_Reports/2211_長榮鋼.md,raw_member,Q000,鋼鐵,下游,金屬製品,1,
moved,2221,大甲,Pilot_Reports/2221_大甲.md,Pilot_Reports/2221_大甲.md,raw_member,Q000,鋼鐵,下游,金屬製品,1,
moved,5009,榮剛,Pilot_Reports/5009_榮剛.md,Pilot_Reports/5009_榮剛.md,raw_member,Q000,鋼鐵,上游,鋼胚,3,
moved,5014,建錩,Pilot_Reports/5014_建錩.md,Pilot_Reports/5014_建錩.md,raw_member,Q000,鋼鐵,中游,冷熱軋不鏽鋼板捲,2,
moved,5016,松和,Pilot_Reports/5016_松和.md,Pilot_Reports/5016_松和.md,raw_member,Q000,鋼鐵,下游,鋼線鋼纜,1,
moved,5538,東明-KY,Pilot_Reports/5538_東明-KY.md,Pilot_Reports/5538_東明-KY.md,raw_member,Q000,鋼鐵,下游,螺絲螺帽,1,
moved,6248,沛波,Pilot_Reports/6248_沛波.md,Pilot_Reports/6248_沛波.md,raw_member,Q000,鋼鐵,中游,裁剪加工,1,
moved,9957,燁聯,Pilot_Reports/9957_燁聯.md,Pilot_Reports/9957_燁聯.md,raw_member,Q000,鋼鐵,上游,不鏽鋼胚,2,
moved,9962,有益,Pilot_Reports/9962_有益.md,Pilot_Reports/9962_有益.md,raw_member,Q000,鋼鐵,中游,冷熱軋不鏽鋼板捲,1,
moved,2412,中華電,Pilot_Reports/2412_中華電.md,Pilot_Reports/2412_中華電.md,map,I000,通信網路,下游,電信服務業,3,
moved,4904,遠傳,Pilot_Reports/4904_遠傳.md,Pilot_Reports/4904_遠傳.md,raw_member,5400,雲端運算,下游,雲端應用服務,4,
