ticker,company_name,theme_id,theme_tag,role,source_path,matched_text,confidence,status
6155,鈞寶,theme.5g,5G,midstream,supply_chain.midstream[3],5G,high,needs_review
6155,鈞寶,theme.ai_server,AI 伺服器,downstream,supply_chain.downstream[1],AI 伺服器,high,needs_review
6155,鈞寶,theme.5g,5G,downstream,supply_chain.downstream[3],5G,high,needs_review
6155,鈞寶,theme.ai_server,AI 伺服器,downstream,relationships.customers[0],AI 伺服器,high,needs_review
6155,鈞寶,theme.5g,5G,downstream,relationships.customers[2],5G,high,needs_review
6160,欣技,theme.5g,5G,downstream,relationships.customers[0],5G,high,needs_review
6163,華電網,theme.5g,5G,related,business.summary,5G,high,needs_review
6163,華電網,theme.5g,5G,midstream,supply_chain.midstream[2],5G,high,needs_review
6163,華電網,theme.5g,5G,downstream,supply_chain.downstream[3],5G,high,needs_review
6163,華電網,theme.5g,5G,downstream,relationships.customers[3],5G,high,needs_review
6163,華電網,theme.5g,5G,upstream,relationships.suppliers[5],5G,high,needs_review
6165,浪凡,theme.apple_supply_chain,Apple 供應鏈,upstream,supply_chain.upstream[3],Apple,medium,needs_review
6165,浪凡,theme.apple_supply_chain,Apple 供應鏈,upstream,relationships.suppliers[2],Apple,medium,needs_review
6166,凌華,theme.5g,5G,related,business.summary,5G,high,needs_review
6166,凌華,theme.nvidia_supply_chain,NVIDIA 供應鏈,upstream,relationships.suppliers[0],NVIDIA,medium,needs_review
6168,宏齊,theme.gan,氮化鎵,related,business.summary,氮化鎵,high,needs_review
6173,信昌電,theme.5g,5G,related,business.summary,5G,high,needs_review
6173,信昌電,theme.ev,電動車,related,business.summary,電動車,high,needs_review
6174,安��,theme.5g,5G,related,business.summary,5G,high,needs_review
6174,安��,theme.ev,電動車,related,business.summary,電動車,high,needs_review
6175,立敦,theme.5g,5G,related,business.summary,5G,high,needs_review
6175,立敦,theme.ai_server,AI 伺服器,related,business.summary,AI 伺服器,high,needs_review
6175,立敦,theme.ev,電動車,related,business.summary,電動車,high,needs_review
6175,立敦,theme.5g,5G,downstream,supply_chain.downstream[4],5G,high,needs_review
6175,立敦,theme.ai_server,AI 伺服器,downstream,supply_chain.downstream[4],AI 伺服器,high,needs_review
6175,立敦,theme.ev,電動車,downstream,supply_chain.downstream[4],電動車,high,needs_review
6175,立敦,theme.5g,5G,downstream,relationships.customers[3],5G,high,needs_review
6175,立敦,theme.ai_server,AI 伺服器,downstream,relationships.customers[3],AI 伺服器,high,needs_review
6175,立敦,theme.ev,電動車,downstream,relationships.customers[3],電動車,high,needs_review
6176,瑞儀,theme.apple_supply_chain,Apple 供應鏈,downstream,supply_chain.downstream[1],Apple,medium,needs_review
6176,瑞儀,theme.apple_supply_chain,Apple 供應鏈,downstream,relationships.customers[0],Apple,medium,needs_review
6182,合晶,theme.gan,氮化鎵,related,business.summary,氮化鎵,high,needs_review
6182,合晶,theme.silicon_wafer,矽晶圓,related,business.summary,矽晶圓,high,needs_review
6182,合晶,theme.ev,電動車,related,business.summary,電動車,high,needs_review
6187,萬潤,theme.cowos,CoWoS,related,business.summary,CoWoS,high,needs_review
6187,萬潤,theme.silicon_photonics,矽光子,related,business.summary,矽光子,high,needs_review
6187,萬潤,theme.cowos,CoWoS,downstream,relationships.customers[0],CoWoS,high,needs_review
6188,廣明,theme.nvidia_supply_chain,NVIDIA 供應鏈,upstream,relationships.suppliers[0],NVIDIA,medium,needs_review
6189,豐藝,theme.data_center,資料中心,downstream,supply_chain.downstream[0],資料中心,high,needs_review
6189,豐藝,theme.nvidia_supply_chain,NVIDIA 供應鏈,upstream,relationships.suppliers[0],NVIDIA,medium,needs_review
6190,萬泰科,theme.ai_server,AI 伺服器,related,business.summary,AI 伺服器,high,needs_review
6190,萬泰科,theme.ai_server,AI 伺服器,midstream,supply_chain.midstream[1],AI 伺服器,high,needs_review
6190,萬泰科,theme.ai_server,AI 伺服器,downstream,supply_chain.downstream[0],AI 伺服器,high,needs_review
6190,萬泰科,theme.leo_satellite,低軌衛星,downstream,supply_chain.downstream[0],低軌衛星,high,needs_review
6190,萬泰科,theme.leo_satellite,低軌衛星,downstream,supply_chain.downstream[1],低軌衛星,high,needs_review
6190,萬泰科,theme.ai_server,AI 伺服器,downstream,supply_chain.downstream[2],AI 伺服器,high,needs_review
6190,萬泰科,theme.nvidia_supply_chain,NVIDIA 供應鏈,downstream,supply_chain.downstream[2],NVIDIA,medium,needs_review
6190,萬泰科,theme.leo_satellite,低軌衛星,downstream,relationships.customers[0],低軌衛星,high,needs_review
6190,萬泰科,theme.ai_server,AI 伺服器,downstream,relationships.customers[1],AI 伺服器,high,needs_review
6190,萬泰科,theme.nvidia_supply_chain,NVIDIA 供應鏈,downstream,relationships.customers[1],NVIDIA,medium,needs_review
6194,育富,theme.5g,5G,related,business.summary,5G,high,needs_review
6197,佳必琪,theme.5g,5G,related,business.summary,5G,high,needs_review
6197,佳必琪,theme.data_center,資料中心,related,business.summary,資料中心,high,needs_review
6197,佳必琪,theme.data_center,資料中心,downstream,supply_chain.downstream[0],資料中心,high,needs_review
6197,佳必琪,theme.nvidia_supply_chain,NVIDIA 供應鏈,downstream,relationships.customers[0],NVIDIA,medium,needs_review
6199,天品,theme.data_center,資料中心,downstream,supply_chain.downstream[0],資料中心,high,needs_review
6203,海韻電,theme.nvidia_supply_chain,NVIDIA 供應鏈,downstream,relationships.customers[0],NVIDIA,medium,needs_review
6205,詮欣,theme.cpo,CPO,related,business.summary,CPO,high,needs_review
6205,詮欣,theme.cpo,CPO,midstream,supply_chain.midstream[0],CPO,high,needs_review
