ticker,company_name,source_md,rendered_md,source_wikilinks,rendered_wikilinks,missing_wikilinks,missing_source_sections,financial_preserved,competitor_count
6224,聚鼎,Pilot_Reports/Electronic Components/6224_聚鼎.md,output/enrichment_all_rendered/6224_聚鼎.md,9,14,,,true,1
6225,天瀚,Pilot_Reports/Consumer Electronics/6225_天瀚.md,output/enrichment_all_rendered/6225_天瀚.md,4,9,,,true,1
6226,光鼎,Pilot_Reports/Electronic Components/6226_光鼎.md,output/enrichment_all_rendered/6226_光鼎.md,5,10,,,true,1
6227,茂綸,Pilot_Reports/Electronics & Computer Distribution/6227_茂綸.md,output/enrichment_all_rendered/6227_茂綸.md,16,21,,,true,1
6228,全譜,Pilot_Reports/Computer Hardware/6228_全譜.md,output/enrichment_all_rendered/6228_全譜.md,5,10,,,true,1
6229,研通,Pilot_Reports/Semiconductors/6229_研通.md,output/enrichment_all_rendered/6229_研通.md,7,12,,,true,1
6230,尼得科超眾,Pilot_Reports/Electronic Components/6230_尼得科超眾.md,output/enrichment_all_rendered/6230_尼得科超眾.md,15,20,,,true,1
6231,系微,Pilot_Reports/Software - Application/6231_系微.md,output/enrichment_all_rendered/6231_系微.md,17,22,,,true,1
6233,旺玖,Pilot_Reports/Semiconductors/6233_旺玖.md,output/enrichment_all_rendered/6233_旺玖.md,10,14,,,true,1
6234,高僑,Pilot_Reports/Tools & Accessories/6234_高僑.md,output/enrichment_all_rendered/6234_高僑.md,9,14,,,true,1
6235,華孚,Pilot_Reports/Metal Fabrication/6235_華孚.md,output/enrichment_all_rendered/6235_華孚.md,8,14,,,true,1
6236,中湛,Pilot_Reports/Biotechnology/6236_中湛.md,output/enrichment_all_rendered/6236_中湛.md,5,6,,,true,1
6237,驊訊,Pilot_Reports/Semiconductors/6237_驊訊.md,output/enrichment_all_rendered/6237_驊訊.md,6,9,,,true,1
6239,力成,Pilot_Reports/Semiconductors/6239_力成.md,output/enrichment_all_rendered/6239_力成.md,19,23,,,true,1
6240,松崗,Pilot_Reports/Publishing/6240_松崗.md,output/enrichment_all_rendered/6240_松崗.md,6,7,,,true,1
6241,易通展,Pilot_Reports/Communication Equipment/6241_易通展.md,output/enrichment_all_rendered/6241_易通展.md,11,16,,,true,1
6243,迅杰,Pilot_Reports/Semiconductors/6243_迅杰.md,output/enrichment_all_rendered/6243_迅杰.md,7,12,,,true,1
6244,茂迪,Pilot_Reports/Solar/6244_茂迪.md,output/enrichment_all_rendered/6244_茂迪.md,8,13,,,true,1
6245,立端,Pilot_Reports/Communication Equipment/6245_立端.md,output/enrichment_all_rendered/6245_立端.md,15,20,,,true,1
6246,臺龍,Pilot_Reports/Electronic Components/6246_臺龍.md,output/enrichment_all_rendered/6246_臺龍.md,6,11,,,true,1
6248,沛波,Pilot_Reports/Steel/6248_沛波.md,output/enrichment_all_rendered/6248_沛波.md,5,9,,,true,1
6257,矽格,Pilot_Reports/Semiconductor Equipment & Materials/6257_矽格.md,output/enrichment_all_rendered/6257_矽格.md,7,12,,,true,1
6259,百徽,Pilot_Reports/Electronics & Computer Distribution/6259_百徽.md,output/enrichment_all_rendered/6259_百徽.md,6,11,,,true,1
6261,久元,Pilot_Reports/Semiconductor Equipment & Materials/6261_久元.md,output/enrichment_all_rendered/6261_久元.md,9,9,,,true,1
6263,普萊德,Pilot_Reports/Communication Equipment/6263_普萊德.md,output/enrichment_all_rendered/6263_普萊德.md,9,14,,,true,1
